Fem_Fle(+)Ext(-),Fem_Var(+)Val(-),Fem_Int(+)Ext(-),EI,VV,LM,AP,PD,PCL,dMCL,sMCL,LCL,ALL,OPL,PC,f
-2,-2,-2,2.733,3.755,1.383,8.048,2.108,0.069,0.123,0.063,0.023,0.033,0.015,0.048,32.987
-2,-2,-1,3.381,2.225,1.559,8.857,1.47,0.042,0.136,0.04,0.018,0.052,0.014,0.037,31.052
-2,-2,0,4.981,3.019,1.48,7.88,1.151,0.078,0.042,0.126,0.027,0.035,0.009,0.041,32.831
-2,-2,1,3.132,2.188,1.268,11.001,0.813,0.05,0.104,0.129,0.081,0.042,0.013,0.013,35.682
-2,-2,2,4.413,3.836,1.215,7.147,1.394,0.016,0.041,0.094,0.042,0.021,0.009,0.03,28.125
-2,-1,-2,4.533,2.9,1.069,7.465,0.875,0.083,0.094,0.03,0.031,0.029,0.017,0.021,29.042
-2,-1,-1,4.846,6.009,1.533,9.262,1.846,0.068,0.078,0.112,0.023,0.017,0.016,0.029,37.216
-2,-1,0,3.162,5.919,1.316,11.085,1.002,0.06,0.118,0.096,0.091,0.037,0.018,0.03,40.484
-2,-1,1,4.767,5.045,1.174,8.445,1.24,0.087,0.059,0.036,0.08,0.019,0.014,0.049,34.431
-2,-1,2,3.684,4.66,1.635,7.23,2.068,0.021,0.085,0.108,0.021,0.015,0.019,0.014,30.597
-2,0,-2,3.169,6.405,1.391,9.318,1.036,0.045,0.054,0.085,0.044,0.028,0.02,0.024,33.319
-2,0,-1,3.642,2.801,1.433,7.805,2.065,0.098,0.146,0.049,0.099,0.041,0.013,0.049,37.546
-2,0,0,4.883,3.031,1.787,10.525,1.014,0.061,0.023,0.081,0.094,0.046,0.009,0.048,35.72
-2,0,1,3.255,2.721,1.13,7.509,0.813,0.005,0.014,0.099,0.082,0.011,0.016,0.017,25.188
-2,0,2,4.416,4.395,1.169,8.005,1.25,0.079,0.103,0.087,0.049,0.035,0.016,0.031,35.235
-2,1,-2,4.441,3.144,1.069,7.22,0.977,0.05,0.058,0.097,0.06,0.025,0.015,0.046,30.891
-2,1,-1,4.035,4.169,1.375,8.294,1.914,0.012,0.144,0.101,0.038,0.052,0.014,0.038,35.747
-2,1,0,3.148,5.257,1.769,7.296,2.093,0.03,0.011,0.118,0.02,0.027,0.012,0.022,29.163
-2,1,1,4.738,3.758,1.358,8.692,1.869,0.063,0.104,0.102,0.068,0.036,0.009,0.031,36.935
-2,1,2,2.606,5.862,1.235,10.503,1.432,0.087,0.019,0.128,0.04,0.017,0.009,0.021,34.478
-2,2,-2,2.544,4.943,1.324,10.513,1.391,0.08,0.015,0.083,0.018,0.043,0.014,0.034,32.195
-2,2,-1,4.869,5.334,1.333,7.601,1.621,0.089,0.015,0.044,0.091,0.054,0.012,0.044,34.718
-2,2,0,3.994,3.668,1.557,9.788,1.928,0.004,0.043,0.108,0.083,0.011,0.014,0.015,32.055
-2,2,1,4.748,5.483,1.502,7.163,1.03,0.04,0.083,0.12,0.086,0.047,0.018,0.049,37.646
-2,2,2,2.549,4.043,1.148,10.214,1.329,0.064,0.095,0.102,0.01,0.033,0.01,0.015,32.443
-1,-2,-2,2.646,5.948,1.299,8.714,1.839,0.085,0.125,0.036,0.029,0.032,0.017,0.021,34.246
-1,-2,-1,4.3,3.398,0.963,8.948,1.534,0.057,0.14,0.089,0.089,0.05,0.012,0.047,38.503
-1,-2,0,3.002,5.699,1.333,10.47,1.799,0.043,0.09,0.106,0.029,0.052,0.02,0.05,37.903
-1,-2,1,3.725,5.691,1.539,9.521,1.34,0.089,0.072,0.085,0.077,0.024,0.009,0.022,36.936
-1,-2,2,4.495,3.617,1.441,7.358,1.649,0.068,0.113,0.033,0.055,0.022,0.01,0.015,31.2
-1,-1,-2,3.496,5.046,1.774,7.242,1.092,0.074,0.127,0.107,0.06,0.038,0.018,0.027,36.69
-1,-1,-1,2.987,2.323,1.311,7.596,2.128,0.007,0.041,0.119,0.053,0.038,0.011,0.038,28.625
-1,-1,0,3.313,3.643,1.521,9.719,1.866,0.048,0.083,0.021,0.073,0.052,0.009,0.043,33.222
-1,-1,1,4.603,5.034,0.943,7.263,0.881,0.094,0.011,0.069,0.073,0.015,0.013,0.045,31.524
-1,-1,2,3.391,2.334,1.394,8.861,0.933,0.1,0.113,0.074,0.098,0.01,0.016,0.017,34.033
-1,0,-2,3.489,2.069,0.922,8.454,1.443,0.079,0.15,0.059,0.018,0.021,0.013,0.026,31.017
-1,0,-1,4.341,3.253,1.723,10.548,1.947,0.055,0.039,0.125,0.064,0.037,0.017,0.027,36.372
-1,0,0,2.878,5.865,1.242,8.121,1.843,0.051,0.014,0.094,0.055,0.022,0.01,0.023,30.709
-1,0,1,4.552,3.598,1.77,9.646,1.164,0.015,0.143,0.028,0.058,0.022,0.018,0.032,33.37
-1,0,2,4.961,3.639,1.22,7.343,0.826,0.071,0.096,0.114,0.073,0.02,0.009,0.023,34.229
-1,1,-2,3.993,5.166,0.997,9.33,1.779,0.022,0.124,0.059,0.014,0.024,0.012,0.023,32.385
-1,1,-1,3.896,2.146,1.709,6.947,1.01,0.078,0.062,0.112,0.066,0.027,0.019,0.027,31.348
-1,1,0,3.317,3.694,0.988,10.365,1.171,0.064,0.064,0.051,0.063,0.059,0.017,0.035,33.655
-1,1,1,3.9,5.736,1.489,9.521,1.516,0.087,0.022,0.105,0.098,0.055,0.017,0.012,38.002
-1,1,2,2.553,4.307,1.118,8.805,0.998,0.094,0.095,0.038,0.039,0.033,0.02,0.041,32.181
